isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 178 0
true false WEST WEST 177 10
true false WEST EAST 176 20
true false EAST WEST 176 20
true false WEST EAST 176 20
true false EAST NORTH 176 20
true false NORTH WEST 175 30
true false WEST SOUTH 175 30
true false SOUTH EAST 175 30
true false EAST EAST 175 30
true false EAST WEST 174 40
true false WEST SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST WEST 174 40
true false WEST WEST 174 40
true false WEST NORTH 174 40
true false NORTH WEST 174 40
true false WEST EAST 173 50
true false EAST WEST 173 50
true false WEST EAST 173 50
true false EAST EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH WEST 173 50
true false WEST EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH SOUTH 173 50
true false SOUTH NORTH 173 50
true false NORTH NORTH 173 50
true false NORTH WEST 173 50
true false WEST NORTH 173 50
true false NORTH SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST NORTH 173 50
true false NORTH WEST 173 50
true false WEST WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST NORTH 173 50
true false NORTH EAST 173 50
true false EAST NORTH 173 50
true false NORTH NORTH 172 60
true false NORTH EAST 172 60
true false EAST NORTH 172 60
true false NORTH EAST 172 60
true false EAST EAST 172 60
true false EAST EAST 172 60
true false EAST NORTH 172 60
true false NORTH EAST 172 60
true false EAST WEST 172 60
true false WEST SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST EAST 171 70
true false EAST EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST WEST 171 70
true false WEST EAST 171 70
true false EAST NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST NORTH 171 70
true false NORTH EAST 171 70
true false EAST NORTH 171 70
true false NORTH EAST 171 70
true false EAST WEST 171 70
true false WEST NORTH 171 70
true false NORTH WEST 171 70
true false WEST NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST WEST 170 80
true false WEST NORTH 169 90
true false NORTH WEST 169 90
true false WEST WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH WEST 167 110
true false WEST SOUTH 167 110
true false SOUTH WEST 166 120
