isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST NORTH 178 0
true false NORTH SOUTH 178 0
true false SOUTH EAST 178 0
true false EAST NORTH 177 10
true false NORTH NORTH 176 20
true false NORTH EAST 175 30
true false EAST SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST EAST 173 50
true false EAST NORTH 172 60
true false NORTH WEST 172 60
true false WEST WEST 172 60
true false WEST SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH WEST 172 60
true false WEST EAST 172 60
true false EAST NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH WEST 172 60
true false WEST EAST 172 60
true false EAST EAST 172 60
true false EAST NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH WEST 172 60
true false WEST WEST 172 60
true false WEST WEST 172 60
true false WEST WEST 172 60
true false WEST WEST 172 60
true false WEST NORTH 172 60
true false NORTH WEST 172 60
true false WEST NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH WEST 172 60
true false WEST EAST 172 60
true false EAST WEST 172 60
true false WEST EAST 172 60
true false EAST WEST 172 60
true false WEST EAST 172 60
true false EAST EAST 172 60
true false EAST SOUTH 171 70
true false SOUTH NORTH 170 80
true false NORTH WEST 170 80
true false WEST WEST 170 80
true false WEST WEST 170 80
true false WEST NORTH 170 80
true false NORTH WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH NORTH 170 80
true false NORTH EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST WEST 170 80
true false WEST EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST EAST 170 80
true false EAST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH WEST 168 100
true false WEST WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH EAST 168 100
true false EAST EAST 168 100
true false EAST NORTH 168 100
true false NORTH WEST 168 100
true false WEST EAST 168 100
true false EAST NORTH 168 100
true false NORTH WEST 168 100
true false WEST EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST NORTH 168 100
true false NORTH EAST 168 100
true false EAST NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST NORTH 168 100
true false NORTH WEST 168 100
true false WEST NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH WEST 167 110
true false WEST SOUTH 167 110
true false SOUTH EAST 167 110
true false EAST NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH EAST 167 110
true false EAST EAST 167 110
true false EAST NORTH 167 110
true false NORTH NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH WEST 167 110
true false WEST EAST 167 110
true false EAST SOUTH 167 110
true false SOUTH WEST 167 110
false true WEST WEST 167 110
